"thank you for describing your experience dealing with mental illness with such courage","2016-07-26T01:09:39","7622","17848",""
"i will be making a major speech on illegal immigration on wednesday in the great state of arizona big crowd looking for a larger venue","2016-08-28T23:27:59","10687","33919",""
"we cant afford a trump presidency this video will show you why","2016-04-29T14:58:26","1192","1506",""
"taking it all in","2016-07-27T18:04:01","1587","7869",""
"thank you four new poll with the movement winning together we will make america safe amp great again","2016-09-27T06:32:29","10829","24078","Manhattan, NY"
"trump is headed for a win say professor who ha predicted 30 year of presidential outcome","2016-09-24T12:43:52","10001","24962",""
"of the fame we can do this we can with","2016-08-25T04:34:00","5213","13633",""
"clinton corruption and her sabotage of the inner city full speech transcript","2016-08-26T02:45:11","5276","13217",""
"our inner city have been left behind we will never have the resource to support our people if we have an open border","2016-06-23T19:10:45","5924","16085",""
"the is so dishonest their hit piece cover story on me yesterday wa just blown up by rowanne brewer who said it wa a lie","2016-05-16T13:09:26","4441","13215",""
"donald trump is literally the republican nominee for president","2016-07-19T23:29:33","380","838",""
"hillary clinton should ask why the democrat pol in atlantic city made all the wrong move convention center airport and destroyed city","2016-07-06T13:12:43","4321","13691",""
"gov mike penny ha just stated that donald trump ha taken a strong stance on hoosier job and he thanks me i will bring back job to usa","2016-05-02T11:21:02","4940","15568",""
"will be on with on at 1135pme enjoy","2016-01-11T22:55:17","2127","6403",""
"great twitter poll and i wasnt even there thank you","2016-01-29T14:43:21","3152","8873",""
"33000 people die from gun violence each year we can save a lot of these life","2016-06-06T19:11:37","1559","3291",""
"the nyt editorial board say donald trump should not be president here why via","2016-09-25T20:58:17","4288","5959",""
"let do this","2016-09-27T00:51:15","24233","78491",""
"will be on at 700 am enjoy","2016-09-15T10:48:25","2118","10978",""
"i dont think a nation can be great that turn it back on the poor and the unfortunate  hillary in 1994","2016-05-27T01:07:26","2285","4757",""
"i believe that our economy isnt working the way it should because our democracy isnt working the way it should  hillary","2016-07-29T03:02:20","1650","4715",""
"hillary know shed make history a the first woman president and that it about much more","2016-05-31T23:29:34","771","1824",""
"hillary say this election is about judgment shes right her judgement ha killed thousand unleashed isi and wrecked the economy","2016-06-21T16:36:40","17222","39991",""
"we   ve got to do more to raise family   income we can start by raising the federal minimum wage    hillary","2016-05-26T17:52:23","1820","4923",""
"is so disgusting in their bias but they are having a hard time promoting crooked hillary in light of the new email scandal","2016-09-03T20:36:39","14280","41139",""
"woman health is an economic issue every woman deserves access to affordable menstrual product bravo new york","2016-06-23T23:20:34","1242","3416",""
"there is so much more that unites u than divide u thats why were the greatest country on earth","2016-08-21T14:21:58","5105","17911",""
"a small business owner sold donald trump piano for his atlantic city casino trump stiffed him for the payment","2016-07-19T12:11:26","5787","8090",""
"gov nikki haley just became a liability for rubio after this wa published to social medium","2016-03-01T19:14:57","2799","5417",""
"thank you for a great day yesterday rhode island","2016-04-26T18:05:25","2422","8067",""
"obamaclinton inherited 10t in debt and turned it into nearly 20t they have bankrupted","2016-06-21T16:53:07","6518","15179",""
"club for growth is the group that came to my office seeking 1 million dollar i told them no and now they are doing negative ad","2016-02-23T23:08:48","2658","6916",""
"such a serious problem for ted amp the gop great doubt dems will sue let all work together to solve this problem","2016-01-12T20:28:37","1365","3459",""
"the quickly put together a hit job book on me comprised of copy of some of their inaccurate story dont buy boring","2016-08-23T01:02:19","5739","18998",""
"we made history","2016-07-26T23:22:40","2522","7707",""
"we are better than this","2016-07-22T03:10:09","18501","38835",""
"if hillary could go back in time and tell anyone shed been nominated for president it would be her mom","2016-06-08T17:24:37","1039","3669",""
"i am not just running against crooked hillary clinton i am running against the very dishonest and totally biased medium but i will win","2016-08-07T01:53:45","28607","88516",""
"henry mcmaster lt governor of south carolina who endorsed me beat failed announcer bakari seller so badly funny","2016-09-09T17:32:36","5184","17485",""
"justice ginsburg of the u supreme court ha embarrassed all by making very dumb political statement about me her mind is shot resign","2016-07-13T04:54:40","11351","35109",""
"just arrived in new hampshire thank you to all of my supporter","2016-01-11T15:40:48","2380","6839",""
"worthless which dopey mort zuckerman is desperately trying to sell ha no buyer liability are massive","2016-02-10T12:59:43","1867","6111",""
"campaign manager robby mook is taking over hillary instagram account today follow along","2016-06-22T20:55:43","470","1314",""
"i will be live tweeting show in 10 minute should be interesting will be on fox network enjoy","2016-05-17T23:49:47","1649","6781",""
"oped by hillary clinton child care now cost more than rent here   s how to fix this crisis","2016-05-20T23:45:42","930","1460",""
"thank you great faith ministry international bishop wayne t jackson and detroit","2016-09-03T17:27:53","11097","28965","Detroit, MI"
"victory press conference wa over why is she allowed to grab me and shout question can i press charge","2016-03-29T19:05:15","9591","27046",""
"thank you coalition an honor joining you today to discus our shared value","2016-06-10T21:24:38","4296","14847",""
"got the endorsement of brian france and yesterday in georgia also many of the sport great driver thank you nascar and georgia","2016-03-01T11:15:32","4204","13366",""
"we brought more of our troop home to their family and we delivered justice to osama bin laden","2016-07-28T03:00:25","873","3400",""
"thank you georgia","2016-09-20T13:49:50","5816","17255",""
"thank you elko county nevada so much amazing feedback from my forum today i really appreciate it","2016-02-23T00:41:28","1373","4714",""
"1st time i heard i said wow i liked him i then became a closet fan today he the only 1 i will vote for","2016-03-19T07:11:26","2482","8973",""
"trump took out a field that couldn   t criticize him on issue because they fundamentally agreed with him  hillary on the gop primary","2016-05-19T18:10:00","906","2239",""
"the great boxing promoter don king just endorsed me nice","2016-06-10T15:10:22","5305","19378",""
"just leaving mechanicsburg pa incredible crowd so enthusiastic will be back soon","2016-08-02T01:58:48","7284","25285",""
"a reminder heading into tonight debate","2016-09-26T16:10:44","4144","8868",""
"it   s ridiculous that teacher and nurse have a higher tax rate than many hedge fund manager","2016-06-23T00:56:45","3328","7704",""
"governor alejandro garc a padilla said presidential hopeful sen marco rubio   is no friend of puerto rico","2016-02-29T16:29:11","3068","7254",""
"i love new hampshire will be an exciting evening","2016-02-06T21:40:04","2203","8071",""
"want to know a more effective way to end this sitin let u vote our conscience on gun legislation","2016-06-23T04:41:34","1435","3640",""
"trump talk about enacting extreme policy idea that hurt american his vp pick ha actually done it","2016-08-29T18:44:01","4489","7029",""
"just left sioux center iowa my speech wa very well received truly great people packed house overflow","2016-01-23T20:14:05","1122","4083",""
"this is not your typical election this is a more fundamental choice aboutwhether we stay true to this great american experiment","2016-07-28T03:03:33","1661","5424",""
"we   ll make instate college and university tuitionfree for family making under 125000year thatll help more than 80 of family","2016-09-13T01:12:08","1319","3271",""
"we need to stop terrorist from getting the weapon they need to carry out attack","2016-06-13T17:25:50","6165","16232",""
"going to salt lake city utah for a big rally lyin ted cruz should not be allowed to win there mormon dont like liar i beat hillary","2016-03-18T20:07:50","4657","14765",""
"i think that both candidate crooked hillary and myself should release detailed medical record i have no problem in doing so hillary","2016-08-28T23:24:14","20209","53474",""
"get out and vote nebraska we will make america great again","2016-05-10T10:27:51","4603","13463",""
"isnt it time we had a president let goofy glen keep canada cruz who cant win the american people have trump","2016-01-22T13:36:16","911","3008",""
"donald trump foreign policy isnt just offensive it dangerous","2016-04-27T20:03:43","1974","3405",""
"former president vicente fox who is railing against my visit to mexico today also invited me when he apologized for using the f bomb","2016-08-31T13:07:38","10898","30972",""
"barack obama wa born in america plain and simple donald trump owes him and the american people an apology","2016-09-16T13:59:10","1396","2826",""
"being able to plan their family not only saved woman   s lives it also transformed them    hillary to","2016-06-10T17:01:08","965","3224",""
"another unarmed black man wa shot in a police incident this should be intolerable we have so much work to do h","2016-09-20T17:35:09","12204","24955",""
